Functions,y,t
P01,0.0,1.9748372077941894
P02,0.0,1.550559639930725
P03,-0.6065306597126334,1.4384334802627563
P04,0.023510585308394893,1.457054853439331
P05,-3.1435037307968345,1.486299204826355
P07,3.0,1.4706380128860475
P08,1.0,1.497866654396057
P09,0.0,1.6109078407287598
P10,-3.8918257189979655,1.4672877311706543
