Functions,100,600,1100,1600,2100,2600,3100,3600,4100,4600,5100,5600,6100,6600,7100,7600,8100,8600,9100,9600
P01,4.470366137487645,2.376360272343085,1.7111871278556592,2.376360272343085,2.376360272343085,1.7111871278556592,1.7111871278556592,1.7111871278556592,1.7111871278556592,0.0,0.0,1.7111871278556592,1.7111871278556592,0.0,0.0,1.7111871278556592,1.7111871278556592,0.0,1.7111871278556592,0.0
P02,2.741954877830965,1.6648310089874983,0.9414709848078965,0.7233600241796017,0.9414709848078965,0.0,0.7233600241796017,0.7233600241796017,0.0,0.0,0.7233600241796017,0.7233600241796017,0.7233600241796017,0.7233600241796017,0.7233600241796017,0.0,0.0,0.7233600241796017,0.0,0.0
P03,-0.01831563888873418,-1.0,-1.0,-0.6065306597126334,-1.0,-0.36787944117144233,-1.0,-0.36787944117144233,-1.0,-0.6065306597126334,-0.6065306597126334,-0.6065306597126334,-0.6065306597126334,-1.0,-1.0,-0.6065306597126334,-0.6065306597126334,-1.0,-0.6065306597126334,-0.6065306597126334
P04,0.0797471529581062,0.0,0.0,0.04882971334963404,0.05048098127111167,0.023510585308394893,0.024568463628673376,0.05461050789411925,0.0,0.050856274817464575,0.0,0.023510585308394893,0.0,0.0,0.04882971334963404,0.0,0.0,0.03131846362867341,0.05461050789411925,0.024568463628673376
P05,-2.810059464737548,-2.9465734127430414,-2.9465734127430228,-2.943358343812034,-2.946598986547503,-2.943358343812034,-2.946581959693673,-2.946573780301052,-2.9465734127430228,-2.946581959693673,-2.946581959693673,-2.946598986547503,-3.1435037307968345,-3.1435037307968345,-2.946573780301052,-2.946581959693673,-2.946581959693673,-2.946598986547503,-3.1435037307968345,-3.0069897827913596
P07,43.0,22.0,15.0,6.0,4.0,3.0,3.0,7.0,4.0,7.0,6.0,4.0,3.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0
P08,8.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
P09,0.07742493433648068,0.0410854170239594,0.0,0.0,0.04898382142423019,0.03871246716824034,0.04898382142423019,0.056882225824500976,0.028441112912250488,0.056882225824500976,0.0410854170239594,0.0,0.028441112912250488,0.0,0.0,0.028441112912250488,0.0,0.0,0.028441112912250488,0.0
P10,-3.8325145289112967,-3.8918257189979655,-3.9127856883670176,-3.8918257189979655,-3.891825718997965,-3.9127856883670176,-3.9127856883670176,-3.8918257189979655,-3.9337456577360697,-3.9337456577360697,-3.9127856883670176,-3.8918257189979655,-3.9337456577360697,-3.9337456577360697,-3.9337456577360697,-3.9337456577360697,-3.9337456577360697,-3.9337456577360697,-3.9127856883670176,-3.9127856883670176
